cid,blend,nco_oh,mdi_fraction,property_score,robust_score,state_score,state_robust_score,state_nominal_rank,state_robust_rank
WO_INV_0678,PPG2000:30+PPG700:70,2.0,0.3653110769084303,0.0026489351496387,0.0316534668422102,0.42907736634699273,5.06269147092428,45.0,78.0
WO_INV_0329,PPG1000:80+PPG400:20,2.3,0.4279986100366224,0.0322396824371068,0.0763351359030729,1.0137049413878865,5.119381977768524,95.0,79.0
WO_INV_0441,PPG1000:60+PPG700:40,2.3,0.4027158510253875,0.0130886378266082,0.0484406500233905,0.7738349168970187,5.127348654847538,77.0,80.0
WO_INV_0488,PPG1000:90+PPG700:10,2.2,0.3647345066686995,0.003829793328641,0.0321954755100515,0.6248618891063976,5.16469952166991,63.0,81.0
WO_INV_0567,PPG2000:50+PPG400:50,2.1,0.4408057988438659,0.0409945714791554,0.0918846880664573,1.0343005262748937,5.205005458956926,98.0,82.0
WO_INV_0583,PPG2000:60+PPG400:40,2.1,0.4058873592138702,0.0110168291135696,0.0480929560696588,0.6276691526749887,5.233767254158544,65.0,83.0
WO_INV_0008,PPG1000:100,2.2,0.3550675566734385,0.0051679137871037,0.0346262058956018,0.6975700216855791,5.33134586153379,70.0,84.0
WO_INV_0345,PPG1000:90+PPG400:10,2.3,0.3982831514017369,0.0108231632922938,0.0458811988476521,0.7630797260670114,5.34111488691611,76.0,85.0
WO_INV_0457,PPG1000:70+PPG700:30,2.3,0.3937841659455224,0.0089388905256468,0.0422247751792864,0.7597552724240892,5.359177531767909,75.0,86.0
WO_INV_0679,PPG2000:30+PPG700:70,2.1,0.3766960684325386,0.0037447758440579,0.0333560788034201,0.5950994846567073,5.388262507972849,61.0,87.0
WO_INV_0649,PPG2000:10+PPG700:90,2.3,0.4346461556291928,0.0373335489711315,0.0858082412668927,1.1208269208674178,5.504036008937552,104.0,88.0
WO_INV_0473,PPG1000:80+PPG700:20,2.3,0.3845812998873784,0.0063006446588175,0.03740262758528,0.7774577709616095,5.622079505223191,78.0,89.0
WO_INV_0584,PPG2000:60+PPG400:40,2.2,0.417152615673349,0.0160014733430744,0.055704719795249,0.8803337720118243,5.64297130428778,88.0,90.0
WO_INV_0410,PPG1000:40+PPG700:60,2.4,0.4302124168110128,0.0330936906799169,0.0790796523852413,1.1950553026702921,5.724773227173257,106.0,91.0
WO_INV_0680,PPG2000:30+PPG700:70,2.2,0.3876798116503101,0.0057743935246414,0.0359715180127044,0.8042425006418181,5.741067924648145,81.0,92.0
WO_INV_0426,PPG1000:50+PPG700:50,2.4,0.4217313363788815,0.0250767082300698,0.0678489838153261,1.1075879714116401,5.742013961931221,103.0,93.0
WO_INV_0665,PPG2000:20+PPG700:80,2.3,0.4170311436537281,0.0182722871836578,0.0594726397132904,0.9754069597299151,5.834846633915005,93.0,94.0
WO_INV_0489,PPG1000:90+PPG700:10,2.3,0.375094712207681,0.0052082603903428,0.036600158395841,0.824383947287539,5.908796935884294,83.0,95.0
WO_INV_0442,PPG1000:60+PPG700:40,2.4,0.412993965577966,0.0184713693563807,0.0592671124083769,1.0514847168102945,5.941715028399665,100.0,96.0
WO_INV_0598,PPG2000:70+PPG400:30,2.0,0.3550675566734384,0.0065165204222797,0.0419961733902079,0.6825748710268514,6.04136858557085,69.0,97.0
WO_INV_0009,PPG1000:100,2.3,0.3653110769084302,0.005536190225401,0.0380509625775142,0.8821663047619541,6.062923567595248,89.0,98.0
WO_INV_0346,PPG1000:90+PPG400:10,2.4,0.4085255132519858,0.0157023651265998,0.056264857985834,1.035542411340118,6.16252939746608,99.0,99.0
