cid,blend,nco_oh,mdi_parts,eta80,eta120,ratio,domain_ratio,unc_radius,in_domain,mdi_fraction,PPG1000,PPG2000,PPG400,PPG700,property_score,broad_margin,ea_two_point_kj_mol,check_nco_oh,check_mdi_fraction,check_eta80_broad,check_eta120_broad,check_ratio_broad,check_eta80_preferred,check_eta120_preferred,check_ratio_preferred,check_chemistry_in_domain,feasible_nominal,property_rank,nominal_rank,robust_check_interval_inside_broad,robust_check_domain_ratio_max,feasible_robust,robust_score,robust_rank
WO_INV_0855,PPG400:50+PPG700:50,2.1,103.228125,1.5633267067,0.2159775191,7.2383770001,0.6424607241,0.0545587432,True,0.5079421216920641,0.0,0.0,50.0,50.0,0.20930969715383363,0.18763754078253203,57.12478706198493,True,False,True,True,True,False,False,True,True,False,684.0,,False,True,False,0.30836503669403037,
WO_INV_0179,PPG1000:80+PPG2000:20,1.7,38.28825,5.4137993771,0.5843559367,9.2645578445,0.780845713,0.0589870628,True,0.27687276395499977,80.0,20.0,0.0,0.0,0.05930920449429738,0.3141014498469144,64.24733368328607,True,False,True,True,True,True,True,True,True,False,375.0,,True,True,False,0.1323280647513413,
WO_INV_0746,PPG2000:70+PPG700:30,2.4,46.761,5.7266387306,0.5224773489,10.9605492807,0.7432743345,0.0577847787,True,0.31862006936447695,0.0,70.0,0.0,30.0,0.07154521010104484,0.17064696034528498,69.09882853663979,True,False,True,True,True,False,True,False,True,False,417.0,,False,True,False,0.1567356502820989,
WO_INV_0612,PPG2000:80+PPG400:20,1.8,40.5405,5.462005358,0.5706372164,9.5717650394,0.782095713,0.0590270628,True,0.28846133320999995,0.0,80.0,20.0,0.0,0.059811472115850424,0.3061317343735999,65.18877975503908,True,False,True,True,True,True,True,False,True,False,379.0,,True,True,False,0.1354755343173411,
WO_INV_0265,PPG1000:40+PPG400:60,2.3,109.35925,1.5910856929,0.2086606484,7.6252312299,0.6486191259,0.054755812,True,0.5223521291750902,40.0,0.0,60.0,0.0,0.21123025550731786,0.23970317803840666,58.62738529748956,True,False,True,True,True,False,False,True,True,False,687.0,,False,True,False,0.30655769961807355,
WO_INV_0538,PPG2000:30+PPG400:70,2.4,114.114,1.6572326555,0.2067975522,8.0137924143,0.7673691259,0.058555812,True,0.5329590778744033,0.0,30.0,70.0,0.0,0.2011479770470862,0.2565664907733346,60.06175415187472,True,False,True,True,True,False,False,True,True,False,673.0,,True,True,False,0.2977548741324623,
WO_INV_0284,PPG1000:50+PPG400:50,2.6,113.86375,1.6547935633,0.201887953,8.1965938959,0.7394811323,0.0576633962,True,0.5324125757637749,50.0,0.0,50.0,0.0,0.20813015080637995,0.23253904015219903,60.712672379824326,True,False,True,True,True,False,False,True,True,False,681.0,,True,True,False,0.30299913388629873,
WO_INV_0303,PPG1000:60+PPG400:40,2.9,116.116,1.7341970336,0.1965962259,8.8211105076,0.8267216602,0.0604550931,True,0.5372855318440097,60.0,0.0,40.0,0.0,0.20414227246996108,0.20597819544858892,62.83181298294894,True,False,True,True,True,False,False,True,True,False,677.0,,True,True,False,0.31126210565510226,
WO_INV_0517,PPG2000:20+PPG400:80,1.9,99.84975,1.6059920495,0.2252229739,7.130675978,0.8602711633,0.0615286772,True,0.4996240925995654,0.0,20.0,80.0,0.0,0.1916949817911358,0.17264656827782815,56.692152218645134,True,False,True,True,True,False,False,True,True,False,660.0,,False,True,False,0.303901031660949,
WO_INV_0881,PPG400:70+PPG700:30,1.5,81.778125,1.5752094858,0.2459482465,6.4046380013,0.9558106388,0.0645859404,True,0.44987880142343867,0.0,0.0,70.0,30.0,0.185451522046931,0.06526294638135582,53.593094020312435,True,True,True,True,True,False,False,False,True,False,650.0,,False,True,False,0.31261312404749303,
WO_INV_0558,PPG2000:40+PPG400:60,2.8,119.119,1.767271642,0.1991198301,8.8754175871,0.8877450486,0.0624078416,True,0.5436269789475126,0.0,40.0,60.0,0.0,0.19576771396101053,0.21873298957082662,63.00894270418359,True,False,True,True,True,False,False,True,True,False,664.0,,True,True,False,0.3060287135893278,
